_id_x,Crate,Dispatch,Content,ContentWeight,ContentCategory,NetWeight,GrossWeight,_id_y,VesselType,ManufacturingPlant,TareWeight,Status,createdAt,updatedAt
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,NM200,1.114,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,NM200,1.112,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,NM200,1.116,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,NM200,1.114,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,KAB200,1.112,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,BM200,1.116,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,BM200,1.122,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,GMK200,1.108,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,GMK200,1.106,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,GM200,1.116,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,GM200,1.12,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,MS200,1.11,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,MS200,1.118,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e2e56bf9b28a8bd57e2,61028,2025-01-02T06:33:18.569Z,PS200,1.116,6697d4bd68f46fd1cab97f59,23.402,32.1,6700eaa7db309e2c6e37a9d1,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,7.728,1,2024-10-05T07:28:39.277Z,2025-01-21T11:15:26.465Z
67765e4b56bf9b28a8bd57e9,64652,2025-01-02T06:33:18.569Z,KMR,1.026,6697ce0768f46fd1cab97f58,2.044,5,676a59fa4d10b47b2a0b9496,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.85,1,2024-12-24T06:51:38.477Z,2025-01-20T10:13:29.539Z
67765e4b56bf9b28a8bd57e9,64652,2025-01-02T06:33:18.569Z,KMT,1.018,6697ce0768f46fd1cab97f58,2.044,5,676a59fa4d10b47b2a0b9496,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.85,1,2024-12-24T06:51:38.477Z,2025-01-20T10:13:29.539Z
67765e6856bf9b28a8bd57f6,64638,2025-01-02T06:33:18.569Z,NHB,1.036,6697ce0768f46fd1cab97f58,2.576,6.05,676a59fa4d10b47b2a0b9488,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.75,1,2024-12-24T06:51:38.030Z,2025-01-07T10:40:41.787Z
67765e6856bf9b28a8bd57f6,64638,2025-01-02T06:33:18.569Z,STS,1.54,6697ce0768f46fd1cab97f58,2.576,6.05,676a59fa4d10b47b2a0b9488,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.75,1,2024-12-24T06:51:38.030Z,2025-01-07T10:40:41.787Z
67765e8056bf9b28a8bd5808,65442,2025-01-02T06:33:18.569Z,CGMP,1.026,6697ce0768f46fd1cab97f58,3.086,6.8,676a5a144d10b47b2a0b97ac,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.836,1,2024-12-24T06:52:04.102Z,2025-01-21T10:50:31.546Z
67765e8056bf9b28a8bd5808,65442,2025-01-02T06:33:18.569Z,NMP,1.026,6697ce0768f46fd1cab97f58,3.086,6.8,676a5a144d10b47b2a0b97ac,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.836,1,2024-12-24T06:52:04.102Z,2025-01-21T10:50:31.546Z
67765e8056bf9b28a8bd5808,65442,2025-01-02T06:33:18.569Z,GMP,1.034,6697ce0768f46fd1cab97f58,3.086,6.8,676a5a144d10b47b2a0b97ac,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.836,1,2024-12-24T06:52:04.102Z,2025-01-21T10:50:31.546Z
67765ead56bf9b28a8bd5825,63964,2025-01-02T06:33:18.569Z,NB,1.028,6697ce0768f46fd1cab97f58,3.138,6.2,676a59e44d10b47b2a0b91e6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.902,1,2024-12-24T06:51:16.774Z,2025-01-20T10:28:28.494Z
67765ead56bf9b28a8bd5825,63964,2025-01-02T06:33:18.569Z,MB,1.05,6697ce0768f46fd1cab97f58,3.138,6.2,676a59e44d10b47b2a0b91e6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.902,1,2024-12-24T06:51:16.774Z,2025-01-20T10:28:28.494Z
67765ead56bf9b28a8bd5825,63964,2025-01-02T06:33:18.569Z,GA,1.06,6697ce0768f46fd1cab97f58,3.138,6.2,676a59e44d10b47b2a0b91e6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,1.902,1,2024-12-24T06:51:16.774Z,2025-01-20T10:28:28.494Z
67765ee456bf9b28a8bd5840,60337,2025-01-02T06:33:18.569Z,GL,1.032,6697ce0768f46fd1cab97f58,9.454,12.15,66ee611ab301138b47f8e0f6,66a23cd40ad663407b8661b6,66979a6b870419a56c2bfd30,2.592,1,2024-09-21T06:00:58.314Z,2025-01-17T10:35:20.519Z
