epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,391.405,0.63739,0.40002,1.22682,0.81912,0.9375,0.9252,0.73294,0.89738,0.59554,1.6315,0.00197867,0.00197867,0.00197867
98,395.426,0.63213,0.38861,1.24954,0.94115,0.9996,0.99147,0.73403,1.06775,0.52476,1.80754,0.00197845,0.00197845,0.00197845
99,399.452,0.63389,0.39166,1.22819,0.9383,1,0.99147,0.76973,0.94776,0.53221,1.75119,0.00197823,0.00197823,0.00197823
100,403.605,0.6144,0.38511,1.22005,0.93706,1,0.98794,0.75174,0.97749,0.45942,1.77881,0.00197801,0.00197801,0.00197801
101,407.585,0.63447,0.38314,1.228,0.93782,1,0.98794,0.72824,1.03087,0.49216,1.74176,0.00197778,0.00197778,0.00197778
102,411.601,0.61272,0.3694,1.23164,0.93688,1,0.98441,0.69519,1.07388,0.62044,1.83739,0.00197756,0.00197756,0.00197756
103,415.585,0.6504,0.41056,1.24823,0.94027,0.98461,0.97324,0.67968,1.1664,0.60737,1.87743,0.00197734,0.00197734,0.00197734
104,419.59,0.61356,0.3941,1.22883,0.93422,1,0.97676,0.74643,0.88744,0.50544,1.61652,0.00197712,0.00197712,0.00197712
105,423.614,0.70402,0.4292,1.26813,0.88561,1,0.96521,0.70202,0.99184,0.54558,1.91244,0.0019769,0.0019769,0.0019769
106,427.632,0.64557,0.41062,1.20117,0.88541,1,0.97646,0.70997,1.08958,0.59054,1.89347,0.00197668,0.00197668,0.00197668
107,431.616,0.62924,0.40577,1.22428,0.84041,1,0.96056,0.67072,1.12636,0.6104,2.04453,0.00197646,0.00197646,0.00197646
108,435.632,0.59645,0.37842,1.21188,0.91459,0.9375,0.93343,0.74277,1.02424,0.49516,1.85421,0.00197624,0.00197624,0.00197624
109,439.583,0.61058,0.37758,1.2369,0.97323,0.9375,0.99147,0.76317,1.09243,0.50275,1.84645,0.00197602,0.00197602,0.00197602
