epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2686.93,0.56559,0.36715,1.11265,1,0.99997,0.995,0.91036,0.42684,0.21469,0.93152,0.00185419,0.00185419,0.00185419
78,2721.84,0.56938,0.38167,1.11905,0.99949,1,0.995,0.9181,0.43352,0.21677,0.9338,0.00185227,0.00185227,0.00185227
79,2756.63,0.56443,0.37347,1.11473,0.99992,1,0.995,0.91859,0.42235,0.22844,0.92224,0.00185035,0.00185035,0.00185035
80,2791.4,0.56316,0.36671,1.11527,1,0.99961,0.995,0.91912,0.44797,0.22357,0.94278,0.00184843,0.00184843,0.00184843
81,2826.27,0.5689,0.37871,1.12105,0.99936,1,0.995,0.91589,0.42655,0.22247,0.92448,0.00184651,0.00184651,0.00184651
82,2860.89,0.56675,0.36241,1.11512,0.99932,1,0.995,0.91408,0.42488,0.21847,0.92732,0.00184459,0.00184459,0.00184459
83,2895.7,0.55177,0.35949,1.10821,0.99966,1,0.995,0.91299,0.43214,0.21614,0.93429,0.00184267,0.00184267,0.00184267
84,2930.45,0.55494,0.36188,1.1073,0.99941,1,0.995,0.9133,0.43492,0.2161,0.93728,0.00184076,0.00184076,0.00184076
85,2965.35,0.5494,0.35491,1.10197,0.99959,1,0.995,0.92614,0.41913,0.21545,0.92013,0.00183884,0.00183884,0.00183884
86,3000.13,0.54808,0.35828,1.10265,0.99937,1,0.995,0.91634,0.42488,0.2081,0.92054,0.00183692,0.00183692,0.00183692
87,3034.94,0.55589,0.35172,1.11034,0.99966,1,0.995,0.92862,0.41395,0.20769,0.91873,0.001835,0.001835,0.001835
88,3069.8,0.55469,0.36013,1.11012,0.99926,1,0.995,0.92484,0.40569,0.21066,0.90898,0.00183308,0.00183308,0.00183308
89,3104.52,0.54085,0.35612,1.10243,0.9999,1,0.995,0.91701,0.42259,0.21125,0.92008,0.00183116,0.00183116,0.00183116
90,3139.36,0.54609,0.3546,1.10178,0.9984,1,0.995,0.91922,0.41697,0.20997,0.91338,0.00182924,0.00182924,0.00182924
91,3174.25,0.54871,0.35724,1.10491,0.99944,0.996,0.995,0.92009,0.42473,0.21172,0.92442,0.00182733,0.00182733,0.00182733
92,3209.22,0.54987,0.3527,1.11012,0.99907,1,0.995,0.91732,0.42819,0.21596,0.92041,0.00182541,0.00182541,0.00182541
93,3243.9,0.54602,0.35021,1.10237,1,0.99983,0.995,0.92539,0.42075,0.21309,0.91873,0.00182349,0.00182349,0.00182349
94,3278.43,0.53808,0.34922,1.09191,0.99892,1,0.995,0.92447,0.41801,0.20735,0.91358,0.00182174,0.00182174,0.00182174
